location_id,day_of_week,hour,mean_demand_kwh,mean_temp,mean_wind,mean_solar,mean_humidity
9q9p3yhbxx8t,0,0,13696.585353398059,18.497922485436895,13.095974768932038,414.7281553398058,57.79975253398058
9q9p3yhbxx8t,0,1,13609.761000970873,17.228504902912622,12.437207008737863,256.28155339805824,62.97309833980583
9q9p3yhbxx8t,0,2,13436.881359223302,15.61539818446602,11.546808173786406,120.97087378640776,69.4084413592233
9q9p3yhbxx8t,0,3,13354.45790776699,14.267339786407767,10.941914816504854,33.50485436893204,75.10165351456311
9q9p3yhbxx8t,0,4,13399.912083495146,13.406660116504854,10.394975308737864,1.4368932038834952,78.3677462815534
9q9p3yhbxx8t,0,5,13668.30263883495,12.872679466019417,10.189388229126214,0.0,80.10844578640777
9q9p3yhbxx8t,0,6,14423.014193203884,12.514427077669904,10.099245074466019,0.0,81.27788588349516
9q9p3yhbxx8t,0,7,15594.997800000001,12.30714546699029,9.971606975728156,0.0,81.72449325242718
9q9p3yhbxx8t,0,8,16638.13221067961,12.01345627184466,10.153531217475729,0.0,82.60254634951457
9q9p3yhbxx8t,0,9,17617.638349514564,11.78384456407767,9.808444399029126,0.0,83.35977919417476
9q9p3yhbxx8t,0,10,18270.108446601942,11.504232941747574,9.617043269902913,0.0,84.0713312038835
9q9p3yhbxx8t,0,11,18658.587174757282,11.230931952135922,9.383098296116506,0.0,84.94497473786409
9q9p3yhbxx8t,0,12,18766.643591262135,11.13093187330097,9.229608532038835,0.0,85.75647580582525
9q9p3yhbxx8t,0,13,18969.27216893204,10.88238821407767,8.777767197087378,0.04854368932038835,86.57035575728156
9q9p3yhbxx8t,0,14,18985.919196116505,10.93141727184466,8.68874986407767,13.533980582524272,85.71562830097088
9q9p3yhbxx8t,0,15,18884.950081553397,11.606174650485437,9.152516506796117,74.10679611650485,82.30436755339805
9q9p3yhbxx8t,0,16,18627.93449708738,13.006174689805826,9.719493696116505,192.25242718446603,76.44439110679612
9q9p3yhbxx8t,0,17,18001.89981747573,14.853747737864078,10.278507574757283,351.3592233009709,69.15738429126213
9q9p3yhbxx8t,0,18,17315.254685436892,16.605203893203882,11.082005559223301,504.70873786407765,62.11870843689321
9q9p3yhbxx8t,0,19,16769.444201941747,17.744039019417475,11.878075625242719,621.5242718446602,57.684059087378635
9q9p3yhbxx8t,0,20,16117.76833592233,18.65374769902913,12.859398101941748,678.7087378640776,54.59060356310679
9q9p3yhbxx8t,0,21,15374.218472815535,19.180446708737865,13.78917904368932,694.5728155339806,53.04630303883495
9q9p3yhbxx8t,0,22,14631.469617475728,19.266854524271846,13.869810350485437,637.8640776699029,52.87923636893204
9q9p3yhbxx8t,0,23,14295.660266990291,19.00860214563107,13.961067870873785,544.9417475728155,53.73465522815534
9q9p3yhbxx8t,1,0,13893.11884368932,18.38772836893204,12.81410379514563,415.8543689320388,57.15570973300971
9q9p3yhbxx8t,1,1,13779.133966990292,17.14258266990291,11.86430052038835,258.6990291262136,62.74817821359223
9q9p3yhbxx8t,1,2,13557.993666019418,15.578990330097087,10.99833357378641,121.37864077669903,69.4968380776699
9q9p3yhbxx8t,1,3,13444.62636407767,14.194038796116503,10.442396206796117,33.48543689320388,74.82323288349514
9q9p3yhbxx8t,1,4,13530.819073786408,13.357631009708738,10.016124183495146,1.4563106796116505,77.91772652427184
9q9p3yhbxx8t,1,5,13789.311970873785,12.787728077669902,9.874564275728156,0.0,79.90327226213593
9q9p3yhbxx8t,1,6,14551.249321359222,12.406660097087379,9.496238700776699,0.0,81.12494143689321
9q9p3yhbxx8t,1,7,15759.78907669903,12.063456252427185,9.33384394854369,0.0,82.33030231067961
9q9p3yhbxx8t,1,8,16916.24093398058,11.744524145631068,9.17294629970874,0.0,83.42242500970875
9q9p3yhbxx8t,1,9,18017.31511553398,11.444038640776698,9.111814210485438,0.0,84.56589433980582
9q9p3yhbxx8t,1,10,18616.001796116507,11.149378456310679,8.858733262135923,0.0,85.59077204854368
9q9p3yhbxx8t,1,11,19040.704102912623,10.936271718446603,8.655805131067961,0.0,86.17316068932038
9q9p3yhbxx8t,1,12,19152.47483398058,10.776077503883496,8.738899577669903,0.0,87.05563989320389
9q9p3yhbxx8t,1,13,19341.101545631067,10.596951317475726,8.629933224951456,0.04854368932038835,87.25630498058251
9q9p3yhbxx8t,1,14,19331.159907766993,10.66588337961165,8.481599616504854,13.106796116504855,86.4258906407767
9q9p3yhbxx8t,1,15,19296.84659514563,11.295494960873786,8.948546416504854,73.05825242718447,83.31626340776698
9q9p3yhbxx8t,1,16,19007.94577475728,12.859087340776698,9.571812554368933,195.44660194174756,77.32360788349514
9q9p3yhbxx8t,1,17,18239.751130097087,14.857145689320388,10.019838589320388,358.13592233009706,69.98477913592234
9q9p3yhbxx8t,1,18,17587.128183495144,16.729475786407768,10.68504546407767,516.5436893203884,62.53011933980582
9q9p3yhbxx8t,1,19,16905.771689320387,17.938699194174756,11.192135554368932,636.3009708737864,57.84824791262136
9q9p3yhbxx8t,1,20,16126.018635922332,19.00666036893204,11.911567757281553,700.1844660194175,54.339058485436894
9q9p3yhbxx8t,1,21,15383.27227475728,19.551806106796118,12.961659326213592,710.9805825242719,53.00228965048544
9q9p3yhbxx8t,1,22,14601.434004854367,19.62753413592233,13.23363106407767,666.5631067961165,53.1471203592233
9q9p3yhbxx8t,1,23,14220.690636893203,19.295010048543688,13.396515206796115,568.4757281553398,54.48029497572815
9q9p3yhbxx8t,2,0,13854.887545631069,18.526077844660197,12.353315361165048,425.05825242718447,58.16624066990291
9q9p3yhbxx8t,2,1,13668.933246601942,17.17025263106796,11.687626666019417,264.3398058252427,63.93819557281553
9q9p3yhbxx8t,2,2,13483.395190291263,15.596951533980583,10.56289213300971,122.96116504854369,70.85000031067962
9q9p3yhbxx8t,2,3,13323.440217475727,14.292582524271845,9.641305798058253,32.650485436893206,76.15370585436894
