location,date,peak_demand,min_demand,avg_demand,avg_temp,avg_wind,avg_solar
"Austin, Texas, USA",2016-01-08,23187.779,17597.2396,20483.985833333332,12.987083,11.916486999999998,123.04166666666667
"Austin, Texas, USA",2016-01-09,19770.921,17646.2595,18950.128375,10.580833070833334,19.356228995833334,164.41666666666666
"Austin, Texas, USA",2016-01-10,19769.92,18052.4005,19094.058291666664,4.468333293333333,13.478902816666666,168.54166666666666
"Austin, Texas, USA",2016-01-11,24408.2,18111.8998,21283.208291666666,4.828749879458333,5.4034315,158.83333333333334
"Austin, Texas, USA",2016-01-12,24551.98,18030.4005,21556.480874999997,7.797499966666667,7.52708732375,169.75
"Austin, Texas, USA",2016-01-13,24256.039,18384.4005,21403.365833333333,9.589166604166666,9.6428011875,170.125
"Austin, Texas, USA",2016-01-14,24197.06,18056.2395,21141.57,12.543333250000002,10.494165070833334,85.625
"Austin, Texas, USA",2016-01-15,24184.48,17936.4796,21183.696666666667,13.789166416666667,13.036345091666666,175.54166666666666
"Austin, Texas, USA",2016-01-16,21350.299,18040.3803,19915.1475,9.916249891666666,9.733070016666668,114.95833333333333
"Austin, Texas, USA",2016-01-17,21266.08,18718.4595,20071.47504166667,6.4391664916666675,11.191119591666668,171.20833333333334
"Austin, Texas, USA",2016-01-18,21400.48,18592.0205,20312.548333333332,7.2558332625,6.514629941666667,174.58333333333334
"Austin, Texas, USA",2016-01-19,26270.3,5384.361,22081.630833333333,10.928749891666667,16.1950175875,149.75
"Austin, Texas, USA",2016-01-20,66800.76000000001,21176.74,27809.10153846154,10.189807676923078,7.908408507692308,163.23076923076923
"Austin, Texas, USA",2016-01-21,26084.18,18511.9405,22683.37833333333,13.909999833333332,14.2442546375,145.20833333333334
"Austin, Texas, USA",2016-01-22,26006.181,18569.0205,22531.543374999997,7.780833183333333,21.78964154166667,182.08333333333334
"Austin, Texas, USA",2016-01-23,21956.72,18274.9796,20355.413291666668,5.314166467833333,6.884368020833333,181.91666666666666
"Austin, Texas, USA",2016-01-24,21087.38,18292.7605,19830.35583333333,8.82249995,14.063468708333334,176.125
"Austin, Texas, USA",2016-01-25,22090.1003,18208.3595,19392.328,14.0174995,19.4766808,5.4
"Austin, Texas, USA",2016-01-26,87139.8,25.0,27114.049411764703,9.994558729411764,20.15506194117647,117.76470588235294
"Austin, Texas, USA",2016-01-27,26930.9,18946.8208,23438.752541666665,7.812083054166667,16.4886020625,182.33333333333334
"Austin, Texas, USA",2016-01-28,43609.72,8774.119,23160.32079166667,8.255833097083334,7.585519820833333,188.29166666666666
"Austin, Texas, USA",2016-01-29,26021.8,18680.7807,22463.653374999998,11.891249866666668,11.013470495833333,190.54166666666666
"Austin, Texas, USA",2016-01-30,21905.521,18096.2805,20164.392499999998,14.476666541666667,17.864794041666666,191.29166666666666
"Austin, Texas, USA",2016-01-31,21198.001,18046.68,19756.937458333334,17.566249916666667,15.8976743,170.16666666666666
"Austin, Texas, USA",2016-02-01,26126.639,18208.84,22603.734166666665,16.401666541666668,11.676253529166667,150.0
"Austin, Texas, USA",2016-02-02,26986.039,18322.5405,23151.182458333333,16.43916666666667,17.44611102083333,198.54166666666666
"Austin, Texas, USA",2016-02-03,72121.939,4797.681,24345.53908695652,10.414891160869564,15.689004156521738,208.56521739130434
"Austin, Texas, USA",2016-02-04,27271.6,19203.4993,23591.178333333333,6.659999922916666,7.768204120833333,203.66666666666666
"Austin, Texas, USA",2016-02-05,26720.821,19226.0205,23075.665833333333,7.126666656249999,10.235316266666667,197.75
"Austin, Texas, USA",2016-02-06,22720.62,18801.2395,20886.29333333333,9.647499883333333,17.435424,204.04166666666666
"Austin, Texas, USA",2016-02-07,21447.561,18730.0003,20253.690875,8.1391665375,10.999912862499999,206.20833333333334
"Austin, Texas, USA",2016-02-08,26570.8,18788.5605,23051.974958333332,11.134999770833334,17.449651687499998,203.0
"Austin, Texas, USA",2016-02-09,26686.121,18964.9796,23277.682458333333,10.589166575,11.307022916666666,206.625
"Austin, Texas, USA",2016-02-10,26674.68,18978.2205,23323.013333333332,11.951666595833332,9.494392420833334,207.33333333333334
"Austin, Texas, USA",2016-02-11,26508.66,18636.5797,22953.764166666664,16.624583041666664,16.811205291666667,210.25
"Austin, Texas, USA",2016-02-12,25952.421,18425.7796,22326.224958333332,16.85791645833333,11.4733325375,210.04166666666666
"Austin, Texas, USA",2016-02-13,21527.84,18079.7798,19991.246708333332,15.445416541666667,11.112043216666665,200.625
"Austin, Texas, USA",2016-02-14,21384.26,18215.5395,19895.992458333334,16.807916583333334,19.495712166666667,151.66666666666666
"Austin, Texas, USA",2016-02-15,26302.86,18523.2996,22690.465874999998,17.318333208333332,13.468533733333333,207.875
"Austin, Texas, USA",2016-02-16,27121.06,18533.0005,23255.51166666667,16.501666541666665,10.032523945833333,213.875
"Austin, Texas, USA",2016-02-17,28266.12,18608.3205,23715.746625,15.630833279166666,10.795462941666665,216.125
"Austin, Texas, USA",2016-02-18,28806.620000000003,19243.5397,24222.870833333334,16.374583291666667,16.636049291666666,166.16666666666666
"Austin, Texas, USA",2016-02-19,41372.9405,19373.2795,24564.971666666665,18.93708325,20.66331620833333,184.20833333333334
"Austin, Texas, USA",2016-02-20,24186.66,19184.74,21900.833333333332,20.249583333333334,16.8838819375,89.16666666666667
"Austin, Texas, USA",2016-02-21,23613.08,19521.5796,21608.998333333333,19.562083333333334,12.840154333333333,40.041666666666664
"Austin, Texas, USA",2016-02-22,27239.94,19415.06,23698.67,18.155833333333334,8.052074054166667,129.0
